feature,class_label,file_path
"[[-42.852062 -39.298676 -32.81295  ... -42.852062 -42.852062 -41.63912 ]
 [-42.852062 -38.34085  -33.630135 ... -42.852062 -42.852062 -42.852062]
 [-40.3553   -34.67953  -33.14681  ... -41.592903 -42.852062 -41.361004]
 ...
 [-42.852062 -42.852062 -42.852062 ... -42.852062 -42.852062 -42.852062]
 [-42.852062 -42.852062 -42.852062 ... -42.852062 -42.852062 -42.852062]
 [-42.852062 -42.852062 -42.852062 ... -42.852062 -42.852062 -42.852062]]",dog_bark,fold5/100032-3-0-0.wav
"[[-32.192398  -26.115463  -11.006885  ... -12.197096  -19.190023
  -11.529043 ]
 [-32.52597   -13.728319   -5.986516  ... -13.650167  -14.744011
  -11.767716 ]
 [-33.36847    -9.215401   -2.4371603 ... -15.8661995 -16.465225
  -14.440634 ]
 ...
 [-40.4314    -40.4314    -40.4314    ... -40.4314    -40.4314
  -40.4314   ]
 [-40.4314    -40.4314    -40.4314    ... -40.4314    -40.4314
  -40.4314   ]
 [-40.4314    -40.4314    -40.4314    ... -40.4314    -40.4314
  -40.4314   ]]",dog_bark,fold2/100652-3-0-0.wav
"[[ -5.07075      0.8886823   -0.18689993 ...  -9.837318    -7.9636235
   -9.207214  ]
 [ -7.0084467   -1.8163581   -5.844578   ... -11.249423    -7.8631787
   -8.482488  ]
 [-12.161006    -5.562975   -21.074547   ...  -2.003364    -3.745502
   -7.3401985 ]
 ...
 [-71.62437    -71.62437    -71.62437    ... -71.62437    -66.55234
  -56.40259   ]
 [-71.62437    -71.62437    -71.62437    ... -71.62437    -66.553505
  -56.403023  ]
 [-71.62437    -71.62437    -71.62437    ... -71.62437    -66.55272
  -56.403103  ]]",children_playing,fold5/100263-2-0-117.wav
"[[-1.7198385e+01 -2.9559528e+01 -8.1328952e-01 ... -2.0317121e+00
   4.9222450e+00  1.9649158e+00]
 [-1.7259123e+01 -1.1730251e+01 -1.1880071e+00 ... -2.7439175e+00
   2.8605316e+00 -6.0136735e-02]
 [-1.5217252e+01 -1.4996351e+01 -2.4134731e+00 ... -3.4297442e+00
  -5.6623673e+00 -6.7189865e+00]
 ...
 [-6.9417343e+01 -7.1695992e+01 -7.1695992e+01 ... -7.1695992e+01
  -7.1695992e+01 -6.1945705e+01]
 [-6.9418060e+01 -7.1695992e+01 -7.1695992e+01 ... -7.1695992e+01
  -7.1695992e+01 -6.1945683e+01]
 [-6.9418213e+01 -7.1695992e+01 -7.1695992e+01 ... -7.1695992e+01
  -7.1695992e+01 -6.1946087e+01]]",children_playing,fold5/100263-2-0-121.wav
"[[-25.79796  -32.49759  -21.444273 ... -24.206085 -47.283802 -36.785065]
 [-25.882027 -20.273235 -20.07708  ... -22.134884 -30.620293 -22.41653 ]
 [-26.422709 -18.889305 -20.44567  ... -17.837524 -27.163961 -21.500807]
 ...
 [-52.757854 -52.757854 -52.757854 ... -52.757854 -52.757854 -42.58188 ]
 [-52.757854 -52.757854 -52.757854 ... -52.757854 -52.757854 -42.5807  ]
 [-52.757854 -52.757854 -52.757854 ... -52.757854 -52.757854 -42.583473]]",car_horn,fold10/100648-1-0-0.wav
"[[-46.91305  -42.447258 -49.245705 ... -25.35149  -22.529987 -31.358845]
 [-44.45295  -33.887436 -29.453506 ... -23.928394 -20.633867 -35.785557]
 [-39.301094 -31.444843 -20.18575  ... -18.700201 -19.111124 -23.59962 ]
 ...
 [-53.197056 -53.197056 -53.197056 ... -53.197056 -53.197056 -46.514336]
 [-53.197056 -53.197056 -53.197056 ... -53.197056 -53.197056 -46.51187 ]
 [-53.197056 -53.197056 -53.197056 ... -53.197056 -53.197056 -46.511467]]",car_horn,fold10/100648-1-1-0.wav
"[[-4.9160076e+01 -3.2766709e+00  2.5417974e-02 ...  1.9616069e+00
  -1.1969115e+00 -2.9210520e+00]
 [-4.9160076e+01 -2.8674884e+00  2.7502241e+00 ...  1.1783386e+01
   1.1246081e+01  6.6582751e+00]
 [-4.9160076e+01 -2.0734134e+00  1.0586053e+01 ...  2.0229033e+01
   1.7971066e+01  9.8618326e+00]
 ...
 [-4.9160076e+01 -4.9160076e+01 -4.9160076e+01 ... -4.9160076e+01
  -4.5180992e+01 -3.5029877e+01]
 [-4.9160076e+01 -4.9160076e+01 -4.9160076e+01 ... -4.9160076e+01
  -4.5188805e+01 -3.5030190e+01]
 [-4.9160076e+01 -4.9160076e+01 -4.9160076e+01 ... -4.9160076e+01
  -4.5184723e+01 -3.5030750e+01]]",air_conditioner,fold5/100852-0-0-0.wav
"[[  8.428778   14.597777   12.982039  ...   7.462672    8.521213
    2.6322513]
 [  9.752056    7.970905   14.663219  ...   8.343075   12.3446865
    8.885575 ]
 [ 11.467403   13.963215   17.745474  ...  16.264656   11.433594
    9.486382 ]
 ...
 [-43.09594   -48.8555    -48.8555    ... -48.8555    -36.241104
  -26.077503 ]
 [-43.100143  -48.8555    -48.8555    ... -48.8555    -36.240723
  -26.077585 ]
 [-43.10074   -48.8555    -48.8555    ... -48.8555    -36.24415
  -26.078362 ]]",air_conditioner,fold5/100852-0-0-1.wav
"[[-12.445034  -29.977802  -26.12801   ... -10.516768  -11.525421
  -10.054454 ]
 [ -8.344222  -15.508591  -15.7837305 ... -12.66097    -2.0862331
   -2.1219435]
 [ -1.6598959  -4.280776   -4.785186  ...   2.9403834   6.848193
    4.5980306]
 ...
 [-43.91211   -43.91211   -43.91211   ... -43.91211   -43.91211
  -43.91211  ]
 [-43.91211   -43.91211   -43.91211   ... -43.91211   -43.91211
  -43.91211  ]
 [-43.91211   -43.91211   -43.91211   ... -43.91211   -43.91211
  -43.91211  ]]",street_music,fold7/101848-9-0-0.wav
"[[  0.8965111   -7.8238173  -36.151394   ... -12.342988   -26.196918
  -24.252977  ]
 [  1.2880974   -1.9179885   -8.56427    ...  -3.7308464   -8.870591
  -17.58596   ]
 [  0.88319355  -2.8426063    0.54313207 ...  -0.1966832   -2.4916277
   -9.813804  ]
 ...
 [-44.813286   -45.25576    -45.25576    ... -45.25576    -45.25576
  -45.25576   ]
 [-44.81456    -45.25576    -45.25576    ... -45.25576    -45.25576
  -45.25576   ]
 [-44.81508    -45.25576    -45.25576    ... -45.25576    -45.25576
  -45.25576   ]]",street_music,fold7/101848-9-0-1.wav
